,Cell name,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj
0,perivascular_fibroblasts x prolif,linear down quadratic up,0.006403520464727687,linear_quadratic,0.06215275168639897,-0.0161811524293278,0.000981942299741543,0.36026566568209817,0.5327622586263785,0.7663811293131892
1,SPP1_Macrophages x intermediate_CM,quadratic down,-0.003170828557413959,quadratic,0.06923575963515013,-0.00013786211119191124,nan,0.36026566568209817,0.4042520689537017,0.7021260344768507
2,Adipo x prolif,linear down quadratic up,0.005890141275905949,linear_quadratic,0.07280297357273761,-0.017881121921871697,0.0010335331825120715,0.36026566568209817,0.3355151633402219,0.6677575816701109
3,Lymphatic_Endo x prolif,linear down quadratic up,0.0076228827691171034,linear_quadratic,0.06028139601011375,-0.017999617830986643,0.001114021765221902,0.36026566568209817,0.3332823054604127,0.6666411527302063
4,Venous_Endo x prolif,linear down quadratic up,0.004500651451145092,linear_quadratic,0.0512389642417992,-0.00988482616771048,0.0006254555486458945,0.36026566568209817,0.3316110833112029,0.6658055416556015
5,CCL18_Macrophages x prolif,linear down quadratic up,0.006483583451528078,linear_quadratic,0.04359082265363638,-0.01169078827138788,0.0007901900749093894,0.36026566568209817,0.31571237538175845,0.6578561876908793
6,Monocytes x intermediate_CM,quadratic down,-0.0033338950737012165,quadratic,0.07045875850730457,-0.00014495195972613983,nan,0.36026566568209817,0.3052704105829712,0.6526352052914857
7,intermediate_CM x vCM_3,linear down,-0.004643432001373561,linear,0.09885401347034141,-0.004643432001373561,nan,0.36026566568209817,0.30244728202954485,0.6512236410147725
8,perivascular_fibroblasts x perivascular_fibroblasts,linear down quadratic up,0.005257136869021439,linear_quadratic,0.046076902893965946,-0.010012720989270318,0.0006639068634039894,0.36026566568209817,0.3013676328107141,0.650683816405357
9,Fib_3 x vCM_3,linear down,-0.003920646408713126,linear,0.09054197915474639,-0.003920646408713125,nan,0.36026566568209817,0.29699094211135146,0.6484954710556757
10,Lymphatic_Endo x Venous_Endo,linear down quadratic up,0.0027484283783544227,linear_quadratic,0.06461322745458904,-0.00994297370942544,0.0005518000907730375,0.3777738518946069,0.2936988814081438,0.6468494407040718
11,Lymphatic_Endo x Pericyte_2,linear down,-0.004350507975762987,linear,0.0954853871758198,-0.004350507975762987,nan,0.36026566568209817,0.29164255633733327,0.6458212781686666
12,LYVE_PLTP_Macrophages x vCM_3,quadratic down,-0.0037304446828713284,quadratic,0.07343288057608041,-0.0001621932470813621,nan,0.36026566568209817,0.28586214632984497,0.6429310731649224
13,Fib_SCARA5 x vCM_3,linear down,-0.0047237339216633645,linear,0.09977748555367413,-0.0047237339216633645,nan,0.36026566568209817,0.28053418010129005,0.6402670900506451
14,Neuronal x vCM_3,linear down quadratic up,-0.005729157479474638,linear_quadratic,0.1556401429308678,-0.01680422909506564,0.00048152485285178273,0.36026566568209817,0.277230687333868,0.6386153436669341
15,Neuronal x damaged_CM,linear down,-0.005167217576526557,linear,0.10487754758460086,-0.005167217576526557,nan,0.36026566568209817,0.26373818587296916,0.6318690929364845
16,vCM_3 x vCM_4,linear down,-0.004916409236938637,linear,0.10199325167933979,-0.004916409236938637,nan,0.36026566568209817,0.24802411149963233,0.6240120557498162
17,Pericyte_2 x SPP1_Macrophages,quadratic down,-0.0038182194071104255,quadratic,0.07409119100787365,-0.00016600953943958372,nan,0.36026566568209817,0.2415250583781663,0.620762529189083
18,CD4 x vCM_3,quadratic down,-0.004122223306660611,quadratic,0.07637122025450005,-0.00017922710028959177,nan,0.36026566568209817,0.2406318903486142,0.6203159451743071
19,Myofib x Pericyte_2,quadratic down,-0.0033781611756190867,quadratic,0.0707907542716886,-0.00014687657285300377,nan,0.36026566568209817,0.23582070373855557,0.6179103518692779
20,LYVE_PLTP_Macrophages x intermediate_CM,quadratic down,-0.0027867919639566105,quadratic,0.06635548518422003,-0.0001211648679981135,nan,0.36026566568209817,0.2310342464643449,0.6155171232321724
21,Myofib x Pericyte_1,linear down,-0.0031056812191476275,linear,0.08116987947474316,-0.003105681219147628,nan,0.36026566568209817,0.2213202059157935,0.6106601029578967
22,Myofib x intermediate_CM,quadratic down,-0.0029676578714940985,quadratic,0.0677119794907512,-0.00012902860310843906,nan,0.36026566568209817,0.22017955528985744,0.6100897776449288
23,Mast x prolif,quadratic up,0.003839213776991194,quadratic,0.016660442127111503,0.00016692233813005194,nan,0.36026566568209817,0.21713140742083692,0.6085657037104184
24,Venous_Endo x perivascular_fibroblasts,quadratic up,0.003976377554038975,quadratic,0.015631713799253145,0.0001728859806103902,nan,0.36026566568209817,0.21645125807834298,0.6082256290391715
25,Lymphatic_Endo x Neuronal,linear down quadratic up,-0.004454148294419763,linear_quadratic,0.15583280010674394,-0.019243035611012572,0.0006429951007214266,0.3777738518946069,0.21636933739026765,0.6081846686951338
26,Fib_3 x NK,linear down,-0.0034990135002072246,linear,0.08569320070692851,-0.003499013500207224,nan,0.36026566568209817,0.21443136274071928,0.6072156813703596
27,Fib_SCARA5 x Pericyte_2,linear down,-0.003748728380315615,linear,0.08856492182817502,-0.0037487283803156156,nan,0.36026566568209817,0.21436028920205918,0.6071801446010296
28,Pericyte_1 x vCM_3,linear down,-0.004293295662723224,linear,0.09482744557586253,-0.004293295662723224,nan,0.36026566568209817,0.21043781332782996,0.605218906663915
29,Monocytes x Neuronal,linear down quadratic up,-0.004801974560274283,linear_quadratic,0.1374818533998919,-0.014003124685822333,0.0004000500054586109,0.36026566568209817,0.20988497437240106,0.6049424871862006
30,Fib_SCARA5 x Neuronal,linear down quadratic up,-0.005120571563586455,linear_quadratic,0.1610656243202241,-0.019301698034695062,0.0006165707161351568,0.36026566568209817,0.20976347345649748,0.6048817367282486
31,Neuronal x Pericyte_1,linear down quadratic up,-0.005896967634405274,linear_quadratic,0.17660818100563586,-0.021731594573262715,0.0006884620408198887,0.36026566568209817,0.20939419055640462,0.6046970952782024
32,Pericyte_1 x damaged_CM,quadratic down,-0.0034422666956832578,quadratic,0.0712715456721699,-0.00014966376937753292,nan,0.36026566568209817,0.2081531725530369,0.6040765862765184
33,Pericyte_1 x Pericyte_2,linear down,-0.003760097093327359,linear,0.0886956620278101,-0.0037600970933273593,nan,0.36026566568209817,0.20776578450098904,0.6038828922504946
34,SPP1_Macrophages x prolif,quadratic up,0.00670289290930978,quadratic,-0.004817151365277897,0.0002914301264917296,nan,0.36026566568209817,0.2047623347729951,0.6023811673864975
35,damaged_CM x vCM_3,quadratic down,-0.004470487987730136,quadratic,0.07898320536252149,-0.00019436904294478852,nan,0.36026566568209817,0.20469286539697662,0.6023464326984883
36,Neuronal x prolif,linear down quadratic up,-0.005566844949118683,linear_quadratic,0.1806344442135117,-0.023357140410144032,0.0007734911070011022,0.3777738518946069,0.20225935321219812,0.601129676606099
37,vCM_3 x vCM_3,linear down,-0.0042349037761538425,linear,0.09415593888031465,-0.0042349037761538425,nan,0.36026566568209817,0.20222994827334273,0.6011149741366714
38,Myofib x vCM_3,linear down,-0.004171148388710235,linear,0.09342275192471317,-0.004171148388710235,nan,0.36026566568209817,0.20049178781839994,0.6002458939091999
39,SPP1_Macrophages x vCM_3,quadratic down,-0.00341361699718248,quadratic,0.07105667293341404,-0.00014841813031228176,nan,0.36026566568209817,0.19947363939861573,0.599736819699308
40,CD8 x intermediate_CM,quadratic down,-0.0036676334771009187,quadratic,0.07296179653280234,-0.00015946232509134428,nan,0.3717099872523357,0.19780760486200888,0.5989038024310045
41,Mast x damaged_CM,linear down,-0.004687272697996052,linear,0.09935818148150005,-0.004687272697996053,nan,0.36026566568209817,0.19627505708702453,0.5981375285435123
