,Cell name,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj
0,perivascular_fibroblasts x prolif,linear down quadratic up,6.170000254044421e-05,linear_quadratic,0.0004182762975396737,-0.00013971405210793102,8.757132810798923e-06,0.13318506096064064,0.6325709660927418,0.8162854830463708
1,Myofib x Venous_Endo,linear down quadratic up,0.0008839504748870684,linear_quadratic,0.004984041270678342,-0.000968643478527765,8.054756319194928e-05,0.10844453667928343,0.5595898432913203,0.7797949216456601
2,Lymphatic_Endo x Venous_Endo,linear down quadratic up,0.00015161364271318377,linear_quadratic,0.0008172702819365418,-0.00023772984553687763,1.692797775000267e-05,0.13318506096064064,0.5542568712128004,0.7771284356064002
3,Arterial_Endo x Myofib,quadratic up,0.00042603656840708396,quadratic,0.002296617151031021,1.8523329061177567e-05,nan,0.10844453667928343,0.5031554772864532,0.7515777386432265
4,Fib_0 x Venous_Endo,quadratic up,0.0007780256275359734,quadratic,0.002093164380277692,3.382720119721623e-05,nan,0.13318506096064064,0.48724192834143965,0.7436209641707199
5,prolif x vSMCs_2,linear down quadratic up,1.4084413641956913e-05,linear_quadratic,0.0001050463745157884,-2.7854214665123057e-05,1.8234186220469553e-06,0.13318506096064064,0.48719398469271114,0.7435969923463556
6,Venous_Endo x prolif,linear down quadratic up,0.00035562103919265534,linear_quadratic,0.0015888565518925248,-0.0005305396812815484,3.8528726977139295e-05,0.13318506096064064,0.4402843396569077,0.7201421698284538
7,Adipo x prolif,linear down quadratic up,2.2499545993023203e-05,linear_quadratic,0.00015080315100298597,-4.9944834712366e-05,3.1497556828430086e-06,0.14758865862888212,0.43883143104312483,0.7194157155215624
8,CCL18_Macrophages x prolif,linear down quadratic up,0.00019896979973125194,linear_quadratic,0.0010232078961997743,-0.00034379946051883,2.3598663489133995e-05,0.135975390362559,0.43636724234231694,0.7181836211711585
9,Venous_Endo x perivascular_fibroblasts,linear down quadratic up,0.00011678749505601081,linear_quadratic,0.0005616961677312022,-0.00017516149556035952,1.2693434374624798e-05,0.13318506096064064,0.43302406802333027,0.7165120340116651
10,Arterial_Endo x perivascular_fibroblasts,linear down quadratic up,6.372540888011343e-05,linear_quadratic,0.0002852235444025642,-7.31603534518252e-05,5.951554883997332e-06,0.13318506096064064,0.4268032580290244,0.7134016290145122
11,Endocardial_Endo x Venous_Endo,quadratic up,0.00012184472844321514,quadratic,0.00032355071594533647,5.297596888835441e-06,nan,0.13318506096064064,0.41259916129267915,0.7062995806463396
12,Lymphatic_Endo x Lymphatic_Endo,linear down quadratic up,7.494654509548958e-05,linear_quadratic,0.0005246390939867571,-0.00015238525955123966,9.883991506379533e-06,0.14758865862888212,0.40282368150070835,0.7014118407503542
13,Arterial_Endo x Lymphatic_Endo,linear down quadratic up,8.378494716704771e-05,linear_quadratic,0.00046323666361531646,-0.00010147707421639944,8.054870494932486e-06,0.13318506096064064,0.3985506830886627,0.6992753415443312
14,Mast x prolif,linear down quadratic up,3.7520040746405646e-05,linear_quadratic,0.00015827986144844556,-4.8878613470925543e-05,3.7564632268404864e-06,0.135975390362559,0.39149592874209715,0.6957479643710486
15,Myofib x perivascular_fibroblasts,linear down quadratic up,0.00022936476013130856,linear_quadratic,0.0015825838024028278,-0.0004099519678316107,2.779637947664866e-05,0.14758865862888212,0.3894310333926425,0.6947155166963211
16,Arterial_Endo x Fib_0,linear up,0.00036019711718400407,linear,0.0019016047582665957,0.00036019711718400407,nan,0.13318506096064064,0.38037923159063314,0.6901896157953166
17,Neuronal x vCM_3,linear down quadratic up,-1.3979699905739232e-05,linear_quadratic,0.00035944912828860014,-3.671131155652544e-05,9.883309413385307e-07,0.13318506096064064,0.3723311183335829,0.6861655591667914
