,Cell name,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj
0,Myofib x Venous_Endo,linear down quadratic up,0.008867046809014281,linear_quadratic,0.004148241126012234,-0.010359016063491702,0.01271945882088628,0.04386789110304454,0.5797763258482032,0.7898881629241016
1,Arterial_Endo x Myofib,quadratic up,0.004274423293949116,quadratic,0.0031991588253904852,0.002827846316271635,nan,0.04386789110304454,0.514761870747293,0.7573809353736465
2,Fib_0 x Venous_Endo,quadratic up,0.007897309612805216,quadratic,0.0036923654677350065,0.005224652862209872,nan,0.04550480729223398,0.5114321451798531,0.7557160725899266
3,Lymphatic_Endo x Venous_Endo,quadratic up,0.00162518160967986,quadratic,0.0001317316841980017,0.0010751775180318176,nan,0.057795470737754956,0.5035420624481775,0.7517710312240887
4,Arterial_Endo x perivascular_fibroblasts,quadratic up,0.0006951579916517855,quadratic,9.765102021290782e-05,0.0004598982905371305,nan,0.08003067472321736,0.4558073660462685,0.7279036830231342
5,Capillary_Endo x perivascular_fibroblasts,quadratic up,0.0006508131776955546,quadratic,0.00027160630031662636,0.00043056092496330086,nan,0.08785271255704599,0.42715543708897485,0.7135777185444875
6,Venous_Endo x perivascular_fibroblasts,quadratic up,0.0012650153673702715,quadratic,5.8422299535304143e-05,0.0008369009807028286,nan,0.08785271255704599,0.4183223619212705,0.7091611809606352
7,Fib_0 x Myofib,quadratic up,0.018906332613465356,quadratic,0.012420562360505379,0.012507933669292492,nan,0.08785271255704599,0.41345364947890917,0.7067268247394546
8,Arterial_Endo x Lymphatic_Endo,quadratic up,0.0008994377691843258,quadratic,0.00020327137381471512,0.0005950444322872789,nan,0.08785271255704599,0.4078723319458608,0.7039361659729304
9,Arterial_Endo x Fib_0,linear up,0.0037666531705434067,linear,0.0035997872106080463,0.0037666531705434067,nan,0.08003067472321736,0.40570345148139997,0.7028517257407001
10,Fib_0 x Lymphatic_Endo,quadratic up,0.0032364469987044195,quadratic,0.0007165754775697204,0.002141148429555519,nan,0.09468637313811923,0.3960257664489879,0.6980128832244938
11,Fib_0 x perivascular_fibroblasts,quadratic up,0.0026729729021508107,quadratic,0.0004069144470989618,0.00176836874942668,nan,0.10006322291288935,0.38289172441079833,0.6914458622053992
12,Lymphatic_Endo x Myofib,linear down quadratic up,0.003393078882053385,linear_quadratic,0.0015981595591663595,-0.006059419470109304,0.006253524933425828,0.10089102081405481,0.37894673916306765,0.6894733695815338
13,Myofib x perivascular_fibroblasts,quadratic up,0.0025285624795233375,quadratic,0.0003067309830300394,0.0016728306022720872,nan,0.10089102081405481,0.3679352896269832,0.6839676448134916
14,intermediate_CM x vCM_3,linear down,-0.003726742332150382,linear,0.006088518641094552,-0.003726742332150382,nan,0.08785271255704599,0.3651048137260482,0.6825524068630242
15,Lymphatic_Endo x perivascular_fibroblasts,quadratic up,0.0003678775619411823,quadratic,2.0684706410734982e-05,0.00024337814409888117,nan,0.10089102081405481,0.35318255568564294,0.6765912778428214
16,Venous_Endo x Venous_Endo,quadratic up,0.005033073009549557,quadratic,0.0014544144079287336,0.0033297490657345115,nan,0.10089102081405481,0.35201356442707266,0.6760067822135364
17,Lymphatic_Endo x Lymphatic_Endo,quadratic up,0.0008134284539374806,quadratic,4.088707439086638e-05,0.0005381429256840041,nan,0.10089102081405481,0.342912093887062,0.671456046943531
18,perivascular_fibroblasts x perivascular_fibroblasts,quadratic up,0.00045082358199421654,quadratic,-4.455751886315738e-06,0.00029825305496426215,nan,0.10089102081405481,0.337997212235321,0.6689986061176605
19,Arterial_Endo x Venous_Endo,quadratic up,0.0024155418276185074,quadratic,0.001567208023666385,0.0015980591039499335,nan,0.10089102081405481,0.3354723859438633,0.6677361929719317
20,Venous_Endo x prolif,quadratic up,0.0034521598627211014,quadratic,0.00028217204275460283,0.0022838584013885614,nan,0.10089102081405481,0.3318825480124985,0.6659412740062493
21,perivascular_fibroblasts x prolif,quadratic up,0.0005603954342674273,quadratic,2.158292099175397e-05,0.0003707429179257725,nan,0.10334005378902587,0.3281810306785974,0.6640905153392986
22,Endocardial_Endo x Venous_Endo,linear up,0.001149592524703377,linear,0.0004914451479781356,0.0011495925247033767,nan,0.10089102081405481,0.3259864876503461,0.6629932438251731
23,vCM_3 x vCM_3,linear down,-0.0005052048532375761,linear,0.0008923889865649673,-0.0005052048532375761,nan,0.10089102081405481,0.3259841323347207,0.6629920661673603
24,Lymphatic_Endo x SPP1_Macrophages,quadratic up,0.0007798133737380255,quadratic,0.0001080848173027482,0.000515904070480363,nan,0.11341586069344672,0.3219059111320868,0.6609529555660434
25,Fib_0 x Fib_0,quadratic up,0.017027152466770678,quadratic,0.015798156829956247,0.011264717382556478,nan,0.10089102081405481,0.3218892991608867,0.6609446495804433
26,perivascular_fibroblasts x vSMCs_2,quadratic up,0.0001275358814155176,quadratic,1.201706617915614e-05,8.437439337462602e-05,nan,0.11341586069344672,0.32174374244607074,0.6608718712230354
27,Pericyte_2 x vCM_3,linear down,-0.0001998326661267996,linear,0.0003354938991480784,-0.0001998326661267996,nan,0.10089102081405481,0.3165349600099018,0.658267480004951
28,Mast x prolif,quadratic up,0.000366275622524352,quadratic,4.7701301836367786e-05,0.00024231834300590408,nan,0.10397301544450585,0.31626770928254255,0.6581338546412713
29,Fib_SCARA5 x vCM_3,quadratic down,-0.0006304661491292021,quadratic,0.0011034179773798604,-0.00041709986464672324,nan,0.10089102081405481,0.3117512574486827,0.6558756287243414
