,Cell name,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj
0,Lymphatic_Endo x Venous_Endo,linear up,0.0016063242419333712,linear,0.0001018118451600866,0.0016063242419333712,nan,0.5116958464677404,0.34268076480344967,0.6713403824017248
1,Arterial_Endo x Lymphatic_Endo,quadratic up,0.0009295909869292742,quadratic,0.00026575106988434435,0.0006671960364615316,nan,0.5116958464677404,0.33108844828263584,0.6655442241413179
2,Fib_0 x Lymphatic_Endo,quadratic up,0.0033294071750983563,quadratic,0.0009484167979001464,0.002389617909625038,nan,0.5116958464677404,0.3177871808288584,0.6588935904144292
3,Lymphatic_Endo x perivascular_fibroblasts,quadratic up,0.0003851948216805598,quadratic,4.398763149226443e-05,0.00027646616835187677,nan,0.5116958464677404,0.29442592257230815,0.6472129612861541
4,Lymphatic_Endo x Myofib,quadratic up,0.0037795695760557426,quadratic,0.0010290189849670752,0.0027127133073922994,nan,0.5116958464677404,0.27901710489376286,0.6395085524468814
5,Lymphatic_Endo x vSMCs_1,quadratic up,0.00033400423267053897,quadratic,5.4531760724304564e-05,0.0002397251084966829,nan,0.5116958464677404,0.26923527133840186,0.6346176356692009
6,Endocardial_Endo x Lymphatic_Endo,quadratic up,0.0005064891415022849,quadratic,0.00014859918675792064,0.0003635228315169097,nan,0.5116958464677404,0.26438230234694926,0.6321911511734746
7,Fib_SCARA5 x intermediate_CM,quadratic down,-0.003836275165926673,quadratic,0.006989957327940541,-0.002753412652952947,nan,0.5116958464677404,0.25605920128606985,0.6280296006430348
8,Lymphatic_Endo x Lymphatic_Endo,linear up,0.0008343296098202829,linear,8.881920368123916e-06,0.0008343296098202829,nan,0.5116958464677404,0.2501638325452411,0.6250819162726207
9,intermediate_CM x vCM_3,linear down,-0.0033841092267163863,linear,0.005569856263440325,-0.0033841092267163863,nan,0.5116958464677404,0.22610735829138373,0.613053679145692
10,Lymphatic_Endo x vSMCs_2,linear down quadratic up,7.252113216618225e-05,linear_quadratic,5.9243172992242894e-05,-0.0001692299755434818,0.00017351220390688285,0.5116958464677404,0.2239068529164978,0.6119534264582489
11,Capillary_Endo x perivascular_fibroblasts,linear down quadratic up,0.00048142519193708467,linear_quadratic,0.0005381224672910616,-0.001231814112013635,0.0012296445309586475,0.5116958464677404,0.22119175276188952,0.6105958763809447
12,CD4 x damaged_CM,linear down,-0.0004913177852080624,linear,0.0007771335579914755,-0.0004913177852080624,nan,0.5116958464677404,0.20531800347690043,0.6026590017384503
13,Fib_SCARA5 x Pericyte_2,linear up quadratic down,-0.00044523349094169784,linear_quadratic,0.0007005797843688881,0.0011681507184664562,-0.001157975459037708,0.5116958464677404,0.20055918857038468,0.6002795942851924
