,sampleID,pseudotime,lables
3,CK163,0.0,myogenic
5,CK356,0.0,myogenic
9,CK360,0.0,myogenic
1,CK159,0.008326480833751633,myogenic
6,CK357,0.012438261797306165,myogenic
11,CK362,0.029386909011199246,myogenic
20,CK374,0.033941875989773836,myogenic
8,CK359,0.10695520812296118,myogenic
12,CK364,0.2440684816896594,myogenic
0,CK158,0.3392765612977824,myogenic
7,CK358,0.36251947395882966,myogenic
14,CK366,0.3985246427474764,fibrotic
2,CK160,0.40312944547495555,myogenic
4,CK164,0.443162124245193,myogenic
10,CK361,1.2427383360378832,ischemic
21,CK375,1.3993521329044285,ischemic
13,CK365,1.6019604009995334,ischemic
18,CK371,1.708246231014047,ischemic
19,CK373,1.755587463047246,ischemic
15,CK367,1.7626853922941597,fibrotic
16,CK368,1.7866236361014687,fibrotic
17,CK370,1.7866236361014687,fibrotic
