,Cell names,p_vals
0,Myofib x Venous_Endo,0.00010192629958755976
1,Arterial_Endo x Myofib,0.00015639176863830494
2,Fib_0 x Venous_Endo,0.00024334121546649187
3,Lymphatic_Endo x Venous_Endo,0.00041208891791625637
4,Arterial_Endo x perivascular_fibroblasts,0.0007673754675777812
5,Capillary_Endo x perivascular_fibroblasts,0.001214705015952965
6,Venous_Endo x perivascular_fibroblasts,0.001711662885458291
7,Fib_0 x Myofib,0.0016637386480024868
8,Arterial_Endo x Lymphatic_Endo,0.0015588609943725774
9,Arterial_Endo x Fib_0,0.0008559430451681
10,Fib_0 x Lymphatic_Endo,0.002025376965521267
11,Fib_0 x perivascular_fibroblasts,0.0023187556111721242
12,Lymphatic_Endo x Myofib,0.0035290210109146323
13,Myofib x perivascular_fibroblasts,0.003580331456509266
14,intermediate_CM x vCM_3,0.0017226022070009018
15,Lymphatic_Endo x perivascular_fibroblasts,0.00325930541858063
16,Venous_Endo x Venous_Endo,0.004675876187460651
17,Lymphatic_Endo x Lymphatic_Endo,0.004655359196011205
18,perivascular_fibroblasts x perivascular_fibroblasts,0.00449713870156827
19,Arterial_Endo x Venous_Endo,0.003976793414262766
20,Venous_Endo x prolif,0.0045175916184909334
21,perivascular_fibroblasts x prolif,0.005008757759451302
22,Endocardial_Endo x Venous_Endo,0.0032612031714818654
23,vCM_3 x vCM_3,0.0032613254044138863
24,Lymphatic_Endo x SPP1_Macrophages,0.006469353907647584
25,Fib_0 x Fib_0,0.00392396330142021
26,perivascular_fibroblasts x vSMCs_2,0.0063054208673421035
27,Pericyte_2 x vCM_3,0.0037872310233341114
28,Mast x prolif,0.005560054301845233
29,Fib_SCARA5 x vCM_3,0.004240883956774069
30,LYVE_FOLR_Macrophages x vCM_3,0.01056607761658967
31,healthy_CM x vCM_3,0.005157792345976336
32,Endocardial_Endo x Lymphatic_Endo,0.006672983298314738
33,perivascular_fibroblasts x vSMCs_1,0.00801960364733367
34,Endocardial_Endo x perivascular_fibroblasts,0.006881707342231227
35,Fib_SCARA5 x healthy_CM,0.017062950336667992
36,Lymphatic_Endo x vSMCs_1,0.008829340548861673
37,CD8 x damaged_CM,0.0054341017533256425
38,CCL18_Macrophages x prolif,0.008884597999915884
39,Lymphatic_Endo x vSMCs_2,0.011225957701426547
40,Adipo x prolif,0.011268078678954536
41,Capillary_Endo x Lymphatic_Endo,0.01052713525588616
42,Mast x vCM_3,0.007207793160037693
43,Lymphatic_Endo x Monocytes,0.012994057940166368
44,Fib_3 x perivascular_fibroblasts,0.013452716010558993
45,NK x vCM_3,0.007810076113170305
